A0004	Acetazolamide 250mg					
A0006	Acyclovir 400mg					
A0230	Albendazole 200mg					
A0026	Allopurinol 100mg					
A0028	Aminophylline 100mg					
A0034	Amitriptyline 25mg					
A0039	Amoxycillin 250mg					
A0046	Aspirin 300mg					
A0067	Benzhexol 5mg					
A0069	Bisacodyl 5mg					
A0080	Bromocriptine 2.5mg					
A0088	Calcium gluconate 600mg 					
A0089	Captopril 12.5mg					
A0090	Carbamazepine 200mg					
A0091	Carbimazole 5mg					
A0094	Cephalexin 250mg					
A0102	Chloramphenicol 250mg					
A0114	Chlorpheniramine 4mg					
A0111	Chlorpromazine 100mg					
A0110	Chlorpromazine 25mg					
A0115	Cimetidine 400mg					
A0116	Ciprofloxacin 250mg					
A0119	Codeine phosphate 15mg					
A0124	Codeine phosphate 15mg					
A0405	Cotrimoxazole 480mg					
A0122	Cyclophosphamide 50mg					
A0136	Dexamethasone 0.5mg					
A0141	Diazepam 5mg					
A0008	Diclofenac sodium 25mg 					
A0146	Digoxin 250 micrograms					
A0145	Digoxin 62.5 micrograms					
A0138	Dihydrocodeine 30mg					
A0414	Doxycycline 100mg					
A0173	Erythromycin 250mg					
A0456	Ferrous sulphate 200mg					
A0185	Ferrous sulphate 200mg / folic acid 250 micrograms					
A0177	Flucloxacillin 250mg					
A0187	Fluconazole 200mg					
A0186	Fluoxetine 20mg					
A0012	Folic acid 5mg					
A0189	Frusemide 40mg					
A0433	Glibenclamide 5mg					
A0194	Griseofulvin 125mg					
A0195	Griseofulvin 250mg					
A0201	Haloperidol 2mg					
A0202	Hydralazine 25mg					
A0121	Hydrochlorothiazide 25mg					
A0123	Hydrochlorothiazide 25mg					
A0120	Hydrocortisone acetate 20mg					
A0457	Ibuprofen 200mg					
A0210	Imipramine HCl 25mg					
A0214	Indomethacin 25mg					
A0017	Isosorbide dinitrate 10mg					
A0224	Ivermectin 6mg					
A0226	Ketoconazole 200mg					
A0232	Lithium carbonate 250mg					
A0234	Lithium carbonate 400mg					
A0236	Lithium carbonate 600mg					
A0092	Loperamide HCl  2mg					
A0427	L+AC0-Thyroxine 100 micrograms					
A0228	Magnesium trisilicate compound					
A0238	Metformin HCl 500mg					
A0247	Methotrexate 2.5mg					
A0249	Methyldopa 250mg					
A0261	Metronidazole 200mg					
A0262	Metronidazole 250mg					
A0266	Mesoprostol (Cytotec) 200mcg					
A0263	Morphine sulphate 10mg (slow release)					
A0265	Nalidixic acid 500mg					
A0022	Nicotinamide 50mg					
A0282	Nifedipine 10mg					
A0283	Nifedipine 20mg (slow release)					
A0288	Nitrofurantoin 50mg					
A0289	Norethisterone 5mg					
A0290	Omeprazole 20mg					
A0296	Paracetamol 500mg					
A0302	Penicillin V 250mg					
A0310	Pericyazine 4 mg					
A0318	Phenobarbitone  30mg					
A0325	Phenytoin sodium 100mg					
A0324	Phenytoin sodium 25mg					
A0332	Potassium chloride 600mg (slow release)					
A0336	Praziquantel 600mg					
A0334	Prednisolone 5mg					
A0340	Procyclidine 5mg					
A0342	Proguanil hydrochloride 100mg					
A0344	Promethazine hydrochloride 25mg					
A0348	Propantheline bromide 15mg					
A0345	Propranolol 40mg					
A0353	Pyridoxine (Vitamin B6) 20mg					
A0367	Quinine hydrochloride 300mg					
A0369	Ranitidine 150mg					
A0377	Salbutamol 4mg					
A0384	Sodium valproate 200mg					
A0380	Spironolactone 25mg					
A0395	Sulphadoxine 500mg / pyrimethamine 25mg (SP)					
A0416	Thioridazine 25mg					
A0418	Thioridazine 50mg					
A0420	Thioridazine HCL 100 mg					
A0428	Tramadol HCl 50mg					
A0436	Trifluoperazine 5mg					
A0444	Vitamin A 100	000 IU				
A0445	Vitamin A 200	000 IU				
A0446	Vitamin B complex strong					
A0448	Vitamin	 multiple   				
A0450	Warfarin sodium 1mg					
B0004	Actinomycin D					
B0006	Adrenaline 1/1000	 1ml				
B0012	Aminophylline 25mg/ml	 10ml				
B0013	Amphotericin B 50mg	 				
B0015	Ampicillin injection 250mg	 PFR				
B0017	Ampicillin injection 500mg	 PFR				
B0024	Atropine sulphate  600 micrograms/ml	 1ml				
B0224	Benzathine benzylpenicillin 1.44g (2.4MU)	 PFR				
B0220	Benzylpenicillin 1g 	 PFR				
B0222	Benzylpenicillin 3g (5MU)	 PFR				
B0507	Bupivacaine spinal hyperbaric 0.5+ACU-	 4ml				
B0508	Bupivacaine spinal isobaric 0.5+ACU-	 4ml				
B0030	Calcium gluconate 10+ACU-	 10ml				
B0032	Cefotaxime 500mg	 PFR				
B0033	Ceftriaxone 250mg					
B0034	Chloramphenicol succinate 1g	 PFR				
B0040	Chlorpromazine hydrochloride 25mg/ml	 2ml				
B0056	Cyclophosphamide 200mg	 PFR				
B0454	Darrows half+AC0-strength in dextrose 5+ACU-	 1000ml				
B0060	Dexamethasone 5mg/ml	 5ml				
B0406	Dextrose 5+ACU-	 1000ml				
B0062	Dextrose 50+ACU-	 20ml				
B0500	Dianeal  Dextrose 1.5+ACU- intraperitoneal dialysis soln. with minicap					
B0504	Dianeal  Dextrose 2.5+ACU- intraperitoneal dialysis soln. with minicap					
B0064	Diazepam 5mg/ml	 2ml				
B0068	Digoxin 250 micrograms/ml	 2ml				
B0072	Dopamine 40mg/ml	 5ml				
B0080	Ephedrine sulphate 30mg/ml	 1ml				
B0081	Ergometrine maleate 500mcg/ml  Oxytocin 10IU/ml	 1ml				
B0082	Ergometrine maleate 500micrograms/ml	 1ml				
B0083	Flucloxacillin 250mg	 vial	 PFR			
B0084	Fluconazole 2mg/ml	 25ml				
B0086	Fluphenazine decanoate 25mg/ml	 2ml				
B0088	Frusemide 10mg/ml	 2ml				
B0446	Gelatin (as polygeline) 500ml pack iv infusion					
B0096	Gentamicin 10mg/ml	 2ml				
B0097	Gentamicin 40mg/ml	 2ml				
B0102	Haloperidol 5mg/ml	 2ml				
B0103	Haloperidol decanoate oily 50mg/ml	  1ml ampoule 				
B0100	Heparin sodium 5	000 IU/ml	 5ml			
B0106	Hydralazine hydrochloride 20mg/ml	 1ml				
